instance_type,m,n,p,k,instance_id,method,strategy,lb_type,cost,time_seconds,nodes,status,error
adversarial,6,4,0.0,2,0,greedy,N/A,N/A,2.0,9.202957153320312e-05,1,success,
adversarial,6,4,0.0,2,0,bb,dfs,sum_degree,2.0,0.00040149688720703125,1,success,
adversarial,6,4,0.0,2,0,bb,dfs,packing,2.0,0.0001380443572998047,1,success,
adversarial,6,4,0.0,2,0,bb,dfs,both,2.0,0.00011348724365234375,1,success,
adversarial,6,4,0.0,2,0,bb,best_first,sum_degree,2.0,0.00011682510375976562,1,success,
adversarial,6,4,0.0,2,0,bb,best_first,packing,2.0,8.988380432128906e-05,1,success,
adversarial,6,4,0.0,2,0,bb,best_first,both,2.0,6.318092346191406e-05,1,success,
adversarial,6,4,0.0,2,1,greedy,N/A,N/A,2.0,1.6689300537109375e-05,1,success,
adversarial,6,4,0.0,2,1,bb,dfs,sum_degree,2.0,5.7697296142578125e-05,1,success,
adversarial,6,4,0.0,2,1,bb,dfs,packing,2.0,5.841255187988281e-05,1,success,
adversarial,6,4,0.0,2,1,bb,dfs,both,2.0,0.0004086494445800781,1,success,
adversarial,6,4,0.0,2,1,bb,best_first,sum_degree,2.0,0.00015211105346679688,1,success,
adversarial,6,4,0.0,2,1,bb,best_first,packing,2.0,0.00013136863708496094,1,success,
adversarial,6,4,0.0,2,1,bb,best_first,both,2.0,7.319450378417969e-05,1,success,
adversarial,6,4,0.0,2,2,greedy,N/A,N/A,2.0,1.6450881958007812e-05,1,success,
adversarial,6,4,0.0,2,2,bb,dfs,sum_degree,2.0,6.651878356933594e-05,1,success,
adversarial,6,4,0.0,2,2,bb,dfs,packing,2.0,6.890296936035156e-05,1,success,
adversarial,6,4,0.0,2,2,bb,dfs,both,2.0,6.29425048828125e-05,1,success,
adversarial,6,4,0.0,2,2,bb,best_first,sum_degree,2.0,6.151199340820312e-05,1,success,
adversarial,6,4,0.0,2,2,bb,best_first,packing,2.0,6.556510925292969e-05,1,success,
adversarial,6,4,0.0,2,2,bb,best_first,both,2.0,0.0004665851593017578,1,success,
adversarial,6,4,0.0,2,3,greedy,N/A,N/A,2.0,2.288818359375e-05,1,success,
adversarial,6,4,0.0,2,3,bb,dfs,sum_degree,2.0,0.005124807357788086,1,success,
adversarial,6,4,0.0,2,3,bb,dfs,packing,2.0,0.0001556873321533203,1,success,
adversarial,6,4,0.0,2,3,bb,dfs,both,2.0,7.653236389160156e-05,1,success,
adversarial,6,4,0.0,2,3,bb,best_first,sum_degree,2.0,7.963180541992188e-05,1,success,
