instance,m,n,method,strategy,lb_type,cost,time,memory_mb,nodes,status,error
scp41_40,40,121,greedy,N/A,N/A,132.0,0.01182699203491211,0.0029449462890625,1,success,
scp41_40,40,121,bb,dfs,sum_degree,127.0,0.358828067779541,0.29950618743896484,534,success,
scp41_40,40,121,bb,best_first,sum_degree,127.0,0.39327573776245117,1.0694255828857422,484,success,
scp41_40,40,121,bb,dfs,packing,127.0,1.5684814453125,0.3022117614746094,2465,success,
scp41_40,40,121,bb,best_first,packing,127.0,2.0416059494018555,3.870211601257324,1871,success,
scp41_40,40,121,bb,dfs,both,127.0,0.47662997245788574,0.30217838287353516,531,success,
scp41_40,40,121,bb,best_first,both,127.0,0.7512378692626953,1.0318832397460938,486,success,
scp41_60,60,300,greedy,N/A,N/A,201.0,0.07344532012939453,0.0044403076171875,1,success,
scp41_60,60,300,bb,dfs,sum_degree,181.0,19.605855703353882,1.1973485946655273,10892,success,
scp41_60,60,300,bb,best_first,sum_degree,181.0,19.439656257629395,121.16326713562012,9523,success,
scp41_60,60,300,bb,dfs,packing,181.0,60.07440972328186,1.2024726867675781,55629,timeout,
scp41_60,60,300,bb,best_first,packing,201.0,60.511884450912476,343.6591444015503,6627,timeout,
scp41_60,60,300,bb,dfs,both,181.0,36.42191171646118,1.1979074478149414,10803,success,
scp41_60,60,300,bb,best_first,both,181.0,34.594977140426636,120.41802978515625,9470,success,
scp41_80,80,400,greedy,N/A,N/A,234.0,0.11499261856079102,0.01007843017578125,1,success,
scp41_80,80,400,bb,dfs,sum_degree,215.0,60.13420128822327,1.4856786727905273,15650,timeout,
scp41_80,80,400,bb,best_first,sum_degree,234.0,60.283836126327515,145.32504081726074,2004,timeout,
scp41_80,80,400,bb,dfs,packing,220.0,60.20041036605835,1.4912452697753906,39417,timeout,
scp41_80,80,400,bb,best_first,packing,234.0,60.361730098724365,220.8111753463745,2630,timeout,
scp41_80,80,400,bb,dfs,both,217.0,60.13440942764282,1.4877023696899414,9300,timeout,
scp41_80,80,400,bb,best_first,both,234.0,60.22990608215332,86.44075012207031,1214,timeout,
scp41_100,100,500,greedy,N/A,N/A,274.0,0.21015119552612305,0.01007843017578125,1,success,
scp41_100,100,500,bb,dfs,sum_degree,247.0,60.21728205680847,1.7697668075561523,16135,timeout,
scp41_100,100,500,bb,best_first,sum_degree,274.0,60.272789001464844,103.69367027282715,996,timeout,
scp41_100,100,500,bb,dfs,packing,257.0,60.196123361587524,1.7738838195800781,71825,timeout,
scp41_100,100,500,bb,best_first,packing,274.0,60.26244616508484,181.471453666687,1714,timeout,
scp41_100,100,500,bb,dfs,both,247.0,60.20541834831238,1.771134376525879,15220,timeout,
scp41_100,100,500,bb,best_first,both,274.0,60.26733756065369,103.47697448730469,994,timeout,
