instance_type,m,n,p,k,instance_id,method,strategy,lb_type,cost,time_seconds,nodes,status,error
uniform,50,100,0.05,0,0,greedy,N/A,N/A,17.0,0.0010657310485839844,1,success,
uniform,50,100,0.05,0,1,greedy,N/A,N/A,18.0,0.0029973983764648438,1,success,
uniform,50,100,0.05,0,1,bb,dfs,sum_degree,16.0,0.11070537567138672,759,success,
uniform,50,100,0.05,0,0,bb,dfs,both,16.0,0.15132832527160645,918,success,
uniform,50,100,0.05,0,0,bb,dfs,packing,16.0,0.17676448822021484,2952,success,
uniform,50,100,0.05,0,1,bb,dfs,packing,16.0,0.17425942420959473,1792,success,
uniform,50,100,0.05,0,1,bb,dfs,both,16.0,0.12368035316467285,488,success,
uniform,50,100,0.05,0,2,greedy,N/A,N/A,17.0,0.0009043216705322266,1,success,
uniform,50,100,0.05,0,0,bb,dfs,sum_degree,16.0,0.2554788589477539,2145,success,
uniform,50,100,0.05,0,2,bb,dfs,packing,15.0,0.02476811408996582,283,success,
uniform,50,100,0.05,0,2,bb,dfs,both,15.0,0.039568424224853516,164,success,
uniform,50,100,0.05,0,0,bb,best_first,packing,16.0,0.45156359672546387,2079,success,
uniform,50,100,0.05,0,2,bb,dfs,sum_degree,15.0,0.22273015975952148,1153,success,
uniform,50,100,0.05,0,2,bb,best_first,packing,15.0,0.17592716217041016,1469,success,
uniform,50,100,0.05,0,3,greedy,N/A,N/A,24.0,0.001093149185180664,1,success,
uniform,50,100,0.05,0,0,bb,best_first,sum_degree,16.0,0.7187302112579346,1826,success,
uniform,50,100,0.05,0,0,bb,best_first,both,16.0,0.7303781509399414,959,success,
uniform,50,100,0.05,0,3,bb,dfs,packing,21.0,0.02107524871826172,225,success,
uniform,50,100,0.05,0,3,bb,dfs,both,21.0,0.04155564308166504,196,success,
uniform,50,100,0.05,0,2,bb,best_first,both,15.0,0.3439610004425049,1072,success,
uniform,50,100,0.05,0,1,bb,best_first,sum_degree,16.0,1.0308103561401367,8111,success,
uniform,50,100,0.05,0,4,greedy,N/A,N/A,17.0,0.0009472370147705078,1,success,
uniform,50,100,0.05,0,1,bb,best_first,packing,16.0,1.1629228591918945,8538,success,
uniform,50,100,0.05,0,2,bb,best_first,sum_degree,15.0,1.0615367889404297,5686,success,
uniform,50,100,0.05,0,3,bb,best_first,packing,21.0,0.601921796798706,6344,success,
uniform,50,100,0.05,0,1,bb,best_first,both,16.0,1.2240626811981201,5987,success,
uniform,50,100,0.05,0,4,bb,dfs,sum_degree,15.0,0.3783998489379883,1990,success,
uniform,50,100,0.05,0,3,bb,best_first,both,21.0,0.9686825275421143,5492,success,
uniform,50,100,0.05,0,5,greedy,N/A,N/A,19.0,0.0035033226013183594,1,success,
uniform,50,100,0.05,0,4,bb,dfs,both,15.0,0.7026031017303467,1449,success,
uniform,50,100,0.05,0,5,bb,dfs,sum_degree,16.0,0.3069610595703125,948,success,
uniform,50,100,0.05,0,4,bb,dfs,packing,15.0,1.0041885375976562,5301,success,
uniform,50,100,0.05,0,5,bb,dfs,both,16.0,0.32131505012512207,589,success,
uniform,50,100,0.05,0,5,bb,dfs,packing,16.0,0.3699319362640381,2136,success,
uniform,50,100,0.05,0,5,bb,best_first,sum_degree,16.0,0.6944425106048584,2282,success,
uniform,50,100,0.05,0,6,greedy,N/A,N/A,16.0,0.003362894058227539,1,success,
uniform,50,100,0.05,0,5,bb,best_first,both,16.0,0.6390442848205566,1224,success,
uniform,50,100,0.05,0,5,bb,best_first,packing,16.0,0.6823644638061523,2831,success,
uniform,50,100,0.05,0,6,bb,dfs,packing,16.0,0.07496190071105957,454,success,
uniform,50,100,0.05,0,6,bb,dfs,sum_degree,16.0,0.14614391326904297,514,success,
uniform,50,100,0.05,0,6,bb,dfs,both,16.0,0.07843708992004395,162,success,
uniform,50,100,0.05,0,6,bb,best_first,both,16.0,0.0778963565826416,55,success,
uniform,50,100,0.05,0,7,greedy,N/A,N/A,16.0,0.0014536380767822266,1,success,
uniform,50,100,0.05,0,6,bb,best_first,packing,16.0,0.0903630256652832,134,success,
uniform,50,100,0.05,0,7,bb,dfs,sum_degree,14.0,0.02580118179321289,82,success,
uniform,50,100,0.05,0,7,bb,dfs,packing,14.0,0.05774378776550293,263,success,
uniform,50,100,0.05,0,7,bb,dfs,both,14.0,0.04207777976989746,76,success,
uniform,50,100,0.05,0,6,bb,best_first,sum_degree,16.0,0.18164896965026855,173,success,
uniform,50,100,0.05,0,7,bb,best_first,sum_degree,14.0,0.12124323844909668,403,success,
uniform,50,100,0.05,0,8,greedy,N/A,N/A,19.0,0.001953601837158203,1,success,
uniform,50,100,0.05,0,8,bb,dfs,sum_degree,17.0,0.03586006164550781,143,success,
